window_id,run_id,window_start_sec,window_end_sec,wheel_translation_sample_count,wheel_translation_availability_fraction,wheel_translation_error_abs_mean,wheel_translation_error_abs_p90,wheel_translation_error_rmse,wheel_translation_within_tolerance_fraction,wheel_translation_tolerance,wheel_rotation_sample_count,wheel_rotation_availability_fraction,wheel_rotation_error_abs_mean,wheel_rotation_error_abs_p90,wheel_rotation_error_rmse,wheel_rotation_within_tolerance_fraction,wheel_rotation_tolerance,imu_yaw_rate_sample_count,imu_yaw_rate_availability_fraction,imu_yaw_rate_error_abs_mean,imu_yaw_rate_error_abs_p90,imu_yaw_rate_error_rmse,imu_yaw_rate_within_tolerance_fraction,imu_yaw_rate_tolerance,lidar_translation_sample_count,lidar_translation_availability_fraction,lidar_translation_error_abs_mean,lidar_translation_error_abs_p90,lidar_translation_error_rmse,lidar_translation_within_tolerance_fraction,lidar_translation_tolerance
00_normal_v2:0000,00_normal_v2,38.859,39.259,20.0,1.0,0.04258126640106191,0.13382716432989555,0.07656183351651447,0.75,0.06,20.0,1.0,2.010613843004746e-15,3.9175667404177556e-15,2.447678958932573e-15,1.0,0.08,40.0,1.0,0.00017772613992043997,0.0003887568089758253,0.00021516020698913568,1.0,0.08,6.0,1.0,0.22811046868819176,0.2986051952168408,0.24628251763276093,0.16666666666666666,0.12
00_normal_v2:0001,00_normal_v2,39.059000000000005,39.459,20.0,1.0,8.789566324273468e-05,3.706830679826578e-05,0.00023837653577905488,1.0,0.06,20.0,1.0,9.028215963682653e-16,9.27093166020282e-16,1.0042186762114774e-15,1.0,0.08,40.0,1.0,0.00014828100930067983,0.00024687247979114185,0.00019193027298784312,1.0,0.08,6.0,1.0,0.29780838776802326,0.3023304241994601,0.2978495187620851,0.0,0.12
00_normal_v2:0002,00_normal_v2,39.25900000000001,39.659000000000006,20.0,1.0,3.705886683789406e-05,3.7059675592526765e-05,3.7058866841920574e-05,1.0,0.06,20.0,1.0,1.2734190207205827e-15,1.041387644962487e-15,2.0095538906589716e-15,1.0,0.08,40.0,1.0,0.0001772976617302708,0.00033488622626365235,0.00022294093303340542,1.0,0.08,6.0,1.0,0.3011398176011872,0.30874521537385613,0.30122303904386283,0.0,0.12
00_normal_v2:0003,00_normal_v2,39.45900000000001,39.85900000000001,20.0,1.0,3.7058410876744666e-05,3.7058519239868695e-05,3.705841087681694e-05,1.0,0.06,20.0,1.0,1.4540428089483302e-15,1.3102916403787141e-15,2.1017484387251962e-15,1.0,0.08,40.0,1.0,0.0001713627131325948,0.00031589440566236437,0.00020104420371749784,1.0,0.08,6.0,1.0,0.30707108198265926,0.3144767359062942,0.3071469365679388,0.0,0.12
00_normal_v2:0004,00_normal_v2,39.65900000000001,40.05900000000001,20.0,1.0,3.705834978813549e-05,3.705836430055176e-05,3.705834978813679e-05,1.0,0.06,20.0,1.0,1.3357203045612015e-15,1.522416009576978e-15,1.3424541156574848e-15,1.0,0.08,40.0,1.0,0.0001563399029526693,0.0002826808604368384,0.00018885871900248486,1.0,0.08,6.0,1.0,0.30580580902091076,0.314439852688972,0.30588241854452614,0.0,0.12
00_normal_v2:0005,00_normal_v2,39.859000000000016,40.259000000000015,20.0,1.0,3.705834157108345e-05,3.705834354413851e-05,3.705834157108348e-05,1.0,0.06,20.0,1.0,1.6139205299073125e-15,1.876932226669228e-15,1.6254776588442188e-15,1.0,0.08,40.0,1.0,0.00013472098189245464,0.00026002603144032783,0.0001666215826334736,1.0,0.08,6.0,1.0,0.30725549821603243,0.31397599093391226,0.3073200181502455,0.0,0.12
00_normal_v2:0006,00_normal_v2,40.05900000000002,40.45900000000002,20.0,1.0,3.705834048416401e-05,3.7058340706846995e-05,3.705834048416401e-05,1.0,0.06,20.0,1.0,1.974349739223135e-15,2.2704068283398485e-15,1.986654530893442e-15,1.0,0.08,40.0,1.0,0.00013508709169162499,0.0003138239594415029,0.0001729364252723682,1.0,0.08,7.0,1.0,0.31134284680079,0.3183795105206103,0.31140230202908575,0.0,0.12
00_normal_v2:0007,00_normal_v2,40.25900000000002,40.65900000000002,20.0,1.0,3.705834039649803e-05,3.7058340399154234e-05,3.705834039649803e-05,1.0,0.06,20.0,1.0,2.3961627539714498e-15,2.764057160703647e-15,2.4110684917223526e-15,1.0,0.08,40.0,1.0,0.00016502473964461422,0.00034472323558720275,0.00020836641300517667,1.0,0.08,7.0,1.0,0.3143362223581554,0.3201224774346581,0.3144148883557153,0.0,0.12
00_normal_v2:0008,00_normal_v2,40.459000000000024,40.85900000000002,20.0,1.0,3.705834039678113e-05,3.705834039913203e-05,3.705834039678113e-05,1.0,0.06,20.0,1.0,2.9102896288867515e-15,3.3458568142789268e-15,2.9284426806124813e-15,1.0,0.08,40.0,1.0,0.00013831991009516798,0.00032600297968103534,0.00017883806238735988,1.0,0.08,6.0,1.0,0.31672256591851605,0.3209336708639354,0.31675273069174564,0.0,0.12
00_normal_v2:0009,00_normal_v2,40.65900000000003,41.059000000000026,20.0,1.0,0.01066649646784364,0.037188697345870624,0.01924370200466712,1.0,0.06,20.0,1.0,0.021835709124612968,0.06643329999728302,0.04002881737538671,0.9,0.08,40.0,1.0,0.01821520014098217,0.06358812434424105,0.03251918186873333,0.95,0.08,6.0,1.0,0.2767701966434253,0.3167699525696197,0.28016173300905295,0.0,0.12
00_normal_v2:0010,00_normal_v2,40.85900000000003,41.25900000000003,20.0,1.0,0.010841763866731972,0.037188697345870624,0.019250855693767648,1.0,0.06,20.0,1.0,0.030902162724044512,0.06643329999728302,0.04207605204414947,0.9,0.08,40.0,1.0,0.01865856402850241,0.06358812434424105,0.032565211601839145,0.95,0.08,6.0,1.0,0.2402787167087401,0.2664133367199047,0.24136796951832987,0.0,0.12
00_normal_v2:0011,00_normal_v2,41.05900000000003,41.45900000000003,20.0,1.0,0.0002105021059364831,0.0002691940848249447,0.0005260029193926478,1.0,0.06,20.0,1.0,0.018168001601842614,0.01825358476665572,0.01826931911430663,1.0,0.08,40.0,1.0,0.0006231447223086731,0.0006502709001259017,0.0017450874318225356,1.0,0.08,6.0,1.0,0.24001006790580362,0.25203906472287146,0.2402335530304117,0.0,0.12
00_normal_v2:0012,00_normal_v2,41.259000000000036,41.659000000000034,20.0,1.0,3.745967196692596e-05,4.1932902077171375e-05,3.84173356496414e-05,1.0,0.06,20.0,1.0,0.01823121480262927,0.018261632999761756,0.018231338972523145,1.0,0.08,40.0,1.0,0.00018584800890499923,0.00034963206979609366,0.00022623895657418678,1.0,0.08,6.0,1.0,0.24275797614789427,0.25673001868132483,0.24303375668215912,0.0,0.12
00_normal_v2:0013,00_normal_v2,41.45900000000004,41.85900000000004,20.0,1.0,4.234827392842894e-05,4.363591315512394e-05,4.235935395534582e-05,1.0,0.06,20.0,1.0,0.018263594179169677,0.018269994596001066,0.01826359484031937,1.0,0.08,40.0,1.0,0.0001448483935765972,0.0002758471868571172,0.00018523824304494556,1.0,0.08,6.0,1.0,0.24069632995473003,0.25229418867534087,0.2409020213371794,0.0,0.12
00_normal_v2:0014,00_normal_v2,41.65900000000004,42.05900000000004,20.0,1.0,0.0002696021836889606,0.0008884474693458994,0.0005318659339534187,1.0,0.06,20.0,1.0,0.05270115438997317,0.14453956295291542,0.07923605447587671,0.75,0.08,40.0,1.0,0.03105694815060029,0.1160018383902585,0.05970736208755308,0.8,0.08,6.0,1.0,0.22185346877675904,0.23784618271433083,0.2229313076103802,0.0,0.12
