window_id,run_id,window_start_sec,window_end_sec,wheel_lidar_vx_residual_mean,wheel_lidar_vx_residual_abs_mean,wheel_lidar_vx_residual_abs_max,wheel_lidar_vx_residual_std,wheel_lidar_vx_residual_persistence,wheel_lidar_vx_normalized_residual_mean,wheel_lidar_vx_normalized_residual_abs_mean,wheel_lidar_vx_normalized_residual_abs_max,wheel_lidar_vx_normalized_residual_std,wheel_lidar_vx_normalized_residual_persistence,wheel_imu_yaw_residual_mean,wheel_imu_yaw_residual_abs_mean,wheel_imu_yaw_residual_abs_max,wheel_imu_yaw_residual_std,wheel_imu_yaw_residual_persistence,wheel_lidar_yaw_residual_mean,wheel_lidar_yaw_residual_abs_mean,wheel_lidar_yaw_residual_abs_max,wheel_lidar_yaw_residual_std,wheel_lidar_yaw_residual_persistence,imu_lidar_yaw_residual_mean,imu_lidar_yaw_residual_abs_mean,imu_lidar_yaw_residual_abs_max,imu_lidar_yaw_residual_std,imu_lidar_yaw_residual_persistence,wheel_vx_abs_mean,wheel_yaw_rate_abs_mean,imu_yaw_rate_abs_mean,lidar_vx_abs_mean,lidar_yaw_rate_abs_mean,imu_horizontal_accel_rms,imu_horizontal_accel_std,imu_horizontal_accel_mad,imu_roll_pitch_gyro_energy,icp_valid_fraction,icp_rmse_mean,icp_rmse_max,icp_rmse_std,icp_inlier_ratio_mean,icp_inlier_ratio_min,icp_inlier_ratio_std,icp_observability_mean,icp_observability_min,icp_observability_std,wheel_translation_reliable,wheel_rotation_reliable,imu_yaw_rate_reliable,lidar_translation_reliable
00_normal_p2l_v2:0000,00_normal_p2l_v2,19.99,20.389999999999997,0.0018423552110573838,0.016154579741983654,0.04664453893899442,0.02318200678842716,0.0,0.0183563719573077,0.20790013224208503,0.5852354181817445,0.2972137116176877,0.0,4.85791319499694e-05,0.00015339337897547545,0.00039791192500664017,0.0002014558122516211,0.0,-3.207477976309318e-05,0.003079521680927117,0.005101471555619112,0.0035201163401891162,0.0,-7.81693591640974e-05,0.0030737490037808877,0.005058231284601329,0.0035009537058481007,0.0,0.24999999999231193,0.0,0.00013401799604572883,0.24815764478125454,0.003079521680927117,0.01466781361314573,0.005841351270366802,0.0033422701047918875,6.769644250310265e-08,1.0,0.0037898375372490026,0.004096488506986987,0.00025469799713180916,0.6796296296296296,0.6611111111111111,0.011857637476727483,0.49177707963300515,0.47520924421536787,0.00931171461836314,1,1,1,1
00_normal_p2l_v2:0001,00_normal_p2l_v2,20.189999999999998,20.589999999999996,0.0024769460915685243,0.01816400497053616,0.04995535703913648,0.025178219380333704,0.0,0.036525502112353,0.23778628247406822,0.6728480497514303,0.33319908776919915,0.0,8.743428883676915e-05,0.0001770748963639565,0.0003784885180969979,0.00019905387291693454,0.0,-0.001280937613604594,0.0031607770441433925,0.010390032622929268,0.004532081001735162,0.0,-0.0012574408804464142,0.0031199216968654906,0.0102327489139956,0.0044562280525498625,0.0,0.24999999999231193,0.0,0.00015974949551676124,0.24752305390074344,0.0031607770441433925,0.01547675100438832,0.006212642915892491,0.003197673401323915,6.407861033081952e-08,1.0,0.0038961223516924604,0.004217390235692769,0.00022020733045669227,0.6712962962962963,0.6611111111111111,0.0059288187383637735,0.49546228005273735,0.47520924421536787,0.0120092763191893,1,1,1,1
00_normal_p2l_v2:0002,00_normal_p2l_v2,20.389999999999997,20.789999999999996,0.005498549358586083,0.029215000650250896,0.04995535703913648,0.03323312348886237,0.0,0.0730079255078247,0.37849674368378133,0.6728480497514303,0.43102668110032527,0.0,8.577321464137736e-05,0.00019257062006933318,0.00042230406419663523,0.00021354049135380478,0.0,-0.0004703697682035411,0.006345833805927972,0.017626392113173295,0.008718862501523173,0.0,-0.00039052009842710744,0.006296331562506518,0.017717434392238232,0.00870946342223996,0.0,0.24999999999231193,0.0,0.00016707583108584403,0.24450145063372583,0.006345833805927972,0.015351250334698825,0.006337850128904796,0.0034212349748301996,8.301315380578091e-08,1.0,0.0039053575214200898,0.004305204048050038,0.0003505215852755629,0.6675925925925926,0.6611111111111111,0.0059288187383637735,0.5004951584253473,0.48986462786007456,0.007096425581780135,1,1,1,1
00_normal_p2l_v2:0003,00_normal_p2l_v2,20.589999999999996,20.989999999999995,0.00988114925246772,0.02354848261854987,0.04930518778467671,0.02518245071682318,0.0,0.12922300923011837,0.30494402036625207,0.6215193756603645,0.32424722740437595,0.0,3.101198540122233e-06,0.0001820320997907682,0.0004266107169182977,0.00022073957065202996,0.0,0.003527903607947133,0.007648158000577108,0.017626392113173295,0.00830646810357565,0.0,0.0036798185211774507,0.00771552560804068,0.017717434392238232,0.008323616478778736,0.0,0.24999999999231193,0.0,0.0001598813149832593,0.2401188507398442,0.007648158000577108,0.012630442631726925,0.005309630859935228,0.004262544355183879,8.08205598098556e-08,1.0,0.0038974032044830896,0.004320726783754165,0.0003561991437873299,0.6626984126984127,0.6555555555555556,0.0057230972626412585,0.5068220923186796,0.48986462786007456,0.015812355829912,1,1,1,1
00_normal_p2l_v2:0004,00_normal_p2l_v2,20.789999999999996,21.189999999999994,0.005175799502640402,0.014166635858469556,0.030799456901824007,0.016531059357752845,0.0,0.06947886114864081,0.18711120397333977,0.4168791078764205,0.22040383026942337,0.0,-2.0486941345951953e-05,0.00014470350711020015,0.0004266107169182977,0.00017709056846013232,0.0,0.002795141986987062,0.004906265401015036,0.009772690884211819,0.00516674662126584,0.0,0.00292336080089198,0.004936238806650716,0.009922714347136003,0.005190347711975163,0.0,0.24999999999231193,0.0,0.0001491443790219561,0.24482420048967152,0.004906265401015036,0.011916823749520565,0.005691530991844513,0.00339543326032011,6.700624278115708e-08,1.0,0.0037980398600912617,0.004320726783754165,0.00027214130662242964,0.6611111111111111,0.65,0.007273929674533078,0.5165723551423559,0.4980282207155849,0.012733470366298467,1,1,1,1
00_normal_p2l_v2:0005,00_normal_p2l_v2,20.989999999999995,21.389999999999993,0.016547061317227163,0.02393323397243032,0.06857871472772725,0.028273316370158966,0.0,0.20273219371866102,0.300560948457444,0.8238074080575472,0.34876355547205606,0.0,2.460515901090175e-05,0.000131644790334179,0.0002782637530853654,0.00015139871214528295,0.0,0.003973420114385062,0.005154411682175632,0.01877253616087354,0.006998364682971295,0.0,0.003996671749629179,0.005051848618042611,0.01872479484223212,0.006939192575382472,0.0,0.24999999999231193,0.0,0.00013281484777129772,0.23345293867508476,0.005154411682175632,0.013839413469077851,0.007025883283210232,0.005417087883956383,7.590092278305424e-08,1.0,0.0038725411327752133,0.004392797205316492,0.0003128088701949006,0.6648148148148147,0.65,0.00828173324999922,0.5171478247173992,0.5044201457475329,0.007657486226251972,1,1,1,1
00_normal_p2l_v2:0006,00_normal_p2l_v2,21.189999999999994,21.589999999999993,0.024327285144237067,0.02783866017276486,0.06857871472772725,0.023846195233004953,0.0,0.29892177561881256,0.3466171148621102,0.8238074080575472,0.29346241181230215,0.0,1.9857462935264006e-05,0.0001778406625416915,0.00045231523948518213,0.00020410641164526994,0.0,0.0045029513172044735,0.006478963728280542,0.01877253616087354,0.007749549502860354,0.0,0.0045108462238098715,0.006421343558794701,0.01872479484223212,0.007737805307167863,0.0,0.24999999999231193,0.0,0.0001393550129544809,0.22567271484807486,0.006478963728280542,0.01536161673897289,0.007489604249838361,0.0055669996076947465,8.264210529633934e-08,1.0,0.004073424815971704,0.004392797205316492,0.00031385118877366383,0.6648148148148147,0.65,0.00828173324999922,0.5055691462725463,0.48855416012972785,0.012761309898253177,1,1,1,1
00_normal_p2l_v2:0007,00_normal_p2l_v2,21.389999999999993,21.789999999999992,0.0034769453351789076,0.01705455847765944,0.02653756135648172,0.018379938775098463,0.0,0.03190485077694896,0.2166187983820181,0.34986154272526276,0.2357031328296415,0.0,4.097451334047404e-05,0.00018785206055227046,0.00045231523948518213,0.00021875936586481084,0.0,-0.00019279641549401348,0.004907796789466593,0.01005377113735936,0.005746358446272915,0.0,-0.00021458172684018858,0.0048609138224656335,0.01020260758592561,0.005765762015360076,0.0,0.24999999999231193,0.0,0.00014346895116545884,0.246523054657133,0.004907796789466593,0.01407830196809905,0.006507051138723489,0.0038538107515755805,7.5425641088668e-08,1.0,0.003999488637576826,0.004391739316421645,0.0003656533624370986,0.6592592592592592,0.65,0.006141897759917385,0.49234146426683706,0.4838558749318426,0.005657763256406018,1,1,1,1
00_normal_p2l_v2:0008,00_normal_p2l_v2,21.589999999999993,21.98999999999999,0.009670762399530622,0.022904079268475847,0.03796707196347271,0.023971146517413118,0.0,0.11351009158384695,0.29531795722975923,0.4747122931290988,0.3112708963662181,0.0,1.9375161207494514e-05,0.00013595924090236555,0.0003368632569198718,0.00017436899139151486,0.0,0.0020955452406659783,0.00627923945074295,0.011071043433868158,0.006584334016859375,0.0,0.0020383561930767736,0.00622931873222186,0.011073862028619402,0.006558506875461033,0.0,0.24999999999231193,0.0,0.0001400153313525693,0.24032923759278133,0.00627923945074295,0.01307626796726543,0.0059064059204772795,0.0031011182153676013,7.767050910114992e-08,1.0,0.0038425653469548082,0.004391739316421645,0.0003759099034483599,0.6574074074074073,0.65,0.005237828008789222,0.5041992195874145,0.4838558749318426,0.018603374553515857,1,1,1,1
00_normal_p2l_v2:0009,00_normal_p2l_v2,21.789999999999992,22.18999999999999,0.022434586114580754,0.02560166486957324,0.052836735146339325,0.021278493387145846,0.0,0.28053190863467165,0.3253211659188124,0.6447466512407634,0.2672587667751967,0.0,-5.327602509367015e-05,0.00013681509729260587,0.0003843893046870254,0.00017272632905599786,0.0,0.006496910983048929,0.006496910983048929,0.01141481990711993,0.0038945915789409626,0.0,0.00643419997149595,0.00643419997149595,0.01128530275360555,0.0038763297123712236,0.0,0.24999999999231193,0.0,0.00015711801429524412,0.2275654138777312,0.006496910983048929,0.01392887525052349,0.007426227530403381,0.003976372873775057,8.5860974630298e-08,1.0,0.003856990155726905,0.004285295278180034,0.00031947792236481504,0.6509259259259259,0.6444444444444445,0.0059288187383637276,0.5195606431727324,0.49752472246690566,0.01110256777562984,1,1,1,1
