window_id,run_id,window_start_sec,window_end_sec,wheel_translation_sample_count,wheel_translation_availability_fraction,wheel_translation_error_abs_mean,wheel_translation_error_abs_p90,wheel_translation_error_rmse,wheel_translation_within_tolerance_fraction,wheel_translation_tolerance,wheel_rotation_sample_count,wheel_rotation_availability_fraction,wheel_rotation_error_abs_mean,wheel_rotation_error_abs_p90,wheel_rotation_error_rmse,wheel_rotation_within_tolerance_fraction,wheel_rotation_tolerance,imu_yaw_rate_sample_count,imu_yaw_rate_availability_fraction,imu_yaw_rate_error_abs_mean,imu_yaw_rate_error_abs_p90,imu_yaw_rate_error_rmse,imu_yaw_rate_within_tolerance_fraction,imu_yaw_rate_tolerance,lidar_translation_sample_count,lidar_translation_availability_fraction,lidar_translation_error_abs_mean,lidar_translation_error_abs_p90,lidar_translation_error_rmse,lidar_translation_within_tolerance_fraction,lidar_translation_tolerance
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0000,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,11.556000000000001,11.956000000000001,20.0,1.0,5.180962285757252e-19,8.193352811831617e-19,5.898477203071742e-19,1.0,0.06,20.0,1.0,7.3100872577440705e-19,1.1067372249376837e-18,8.04142458509036e-19,1.0,0.08,40.0,1.0,0.000194617398346422,0.0003797946774698024,0.00023505959088376203,1.0,0.08,6.0,1.0,0.01554789153084221,0.025939317142422962,0.01835438415385241,1.0,0.12
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0001,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,11.756,12.156,20.0,1.0,5.112912963345801e-19,8.083844458051005e-19,5.83229354395698e-19,1.0,0.06,20.0,1.0,4.1596388117205996e-19,9.355431296546821e-19,5.293980866654973e-19,1.0,0.08,40.0,1.0,0.0001937886174156835,0.00034971532565666516,0.00022947946493886385,1.0,0.08,6.0,1.0,0.022568543509847393,0.03505070409378665,0.02584121876869065,1.0,0.12
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0002,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,11.956,12.356,20.0,1.0,5.170076903777773e-19,7.4043978221681135e-19,5.65411681283192e-19,1.0,0.06,20.0,1.0,2.8941576454503513e-19,4.917707981796743e-19,3.3555429370525323e-19,1.0,0.08,40.0,1.0,0.00017300790379607615,0.0003427510745261837,0.00020963724952903474,1.0,0.08,6.0,1.0,0.018699899642899896,0.03505070409378665,0.022794892242315245,1.0,0.12
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0003,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,12.155999999999999,12.556,20.0,1.0,5.329614665258412e-19,8.251123819542114e-19,5.780318895694392e-19,1.0,0.06,20.0,1.0,4.361328090158809e-19,6.927381834499023e-19,4.809519336594064e-19,1.0,0.08,40.0,1.0,0.00020436042184109315,0.00038554723914059857,0.0002500277428739656,1.0,0.08,6.0,1.0,0.010452936767129606,0.019818294270373446,0.01333937784218043,1.0,0.12
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0004,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,12.355999999999998,12.755999999999998,20.0,1.0,5.459755322210965e-19,7.323452429974454e-19,5.759884450745157e-19,1.0,0.06,20.0,1.0,5.1542864218530695e-19,6.927555767405937e-19,5.407000896921421e-19,1.0,0.08,40.0,1.0,0.0002015630258299656,0.0003964769507169373,0.0002481901131216609,1.0,0.08,6.0,1.0,0.007328143756673982,0.016548020460609495,0.010684307471984986,1.0,0.12
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0005,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,12.555999999999997,12.955999999999998,20.0,1.0,5.706129287910796e-19,7.712100855898207e-19,6.087510284511531e-19,1.0,0.06,20.0,1.0,5.074278553728351e-19,6.907128461846199e-19,5.361381509440488e-19,1.0,0.08,40.0,1.0,0.00016025146153295783,0.00031453390658539777,0.00019243403775335823,1.0,0.08,6.0,1.0,0.010614344275936494,0.02060628501993219,0.014300699469129872,1.0,0.12
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0006,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,12.755999999999997,13.155999999999997,20.0,1.0,0.014754075085976804,0.05654556477505962,0.03147886383221207,0.9,0.06,20.0,1.0,1.9697127573119996e-15,5.7670084171000275e-15,3.13046299954061e-15,1.0,0.08,40.0,1.0,0.0001715769576306558,0.0003235124791268024,0.00021878823337180832,1.0,0.08,6.0,1.0,0.025604890909935302,0.05274642822964768,0.03430623403880217,1.0,0.12
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0007,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,12.955999999999996,13.355999999999996,20.0,1.0,0.017529948996086935,0.05654556477505962,0.03204890006770095,0.9,0.06,20.0,1.0,2.418866785894456e-15,5.7670084171000275e-15,3.244193666340991e-15,1.0,0.08,40.0,1.0,0.00014760296618406316,0.00032691009108666385,0.00020796182502063666,1.0,0.08,6.0,1.0,0.02389925909334814,0.05274642822964768,0.032736081927830236,1.0,0.12
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0008,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,13.155999999999995,13.555999999999996,20.0,1.0,0.003962811066269563,0.007373654125550334,0.006571311638130941,1.0,0.06,20.0,1.0,7.293160175957399e-16,6.67081727454847e-16,9.39013319935897e-16,1.0,0.08,40.0,1.0,0.00013024131373030076,0.00032539512796176675,0.00017355922738145928,1.0,0.08,6.0,1.0,0.015364161002147774,0.02970737756696018,0.020391577050069207,1.0,0.12
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0009,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,13.355999999999995,13.755999999999995,20.0,1.0,0.0023738743125130356,0.00590291227129594,0.0037333655763785527,1.0,0.06,20.0,1.0,5.919480386099061e-16,6.41846365123946e-16,5.93072645930906e-16,1.0,0.08,40.0,1.0,0.00015736863625053833,0.0003510699149203063,0.00021351732436544583,1.0,0.08,6.0,1.0,0.014851029580110262,0.03579736892146167,0.021806917842494306,1.0,0.12
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0010,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,13.555999999999994,13.955999999999994,20.0,1.0,0.0023738743127106306,0.005902912271295968,0.00373336557652359,1.0,0.06,20.0,1.0,6.660914066092002e-16,7.398475440687188e-16,6.679470956016942e-16,1.0,0.08,40.0,1.0,0.0001779196041699842,0.0003286789745748203,0.000229662618957003,1.0,0.08,6.0,1.0,0.019707206427644414,0.03593658862240892,0.02470827870749437,1.0,0.12
