window_id,run_id,window_start_sec,window_end_sec,wheel_lidar_vx_residual_mean,wheel_lidar_vx_residual_abs_mean,wheel_lidar_vx_residual_abs_max,wheel_lidar_vx_residual_std,wheel_lidar_vx_residual_persistence,wheel_lidar_vx_normalized_residual_mean,wheel_lidar_vx_normalized_residual_abs_mean,wheel_lidar_vx_normalized_residual_abs_max,wheel_lidar_vx_normalized_residual_std,wheel_lidar_vx_normalized_residual_persistence,wheel_imu_yaw_residual_mean,wheel_imu_yaw_residual_abs_mean,wheel_imu_yaw_residual_abs_max,wheel_imu_yaw_residual_std,wheel_imu_yaw_residual_persistence,wheel_lidar_yaw_residual_mean,wheel_lidar_yaw_residual_abs_mean,wheel_lidar_yaw_residual_abs_max,wheel_lidar_yaw_residual_std,wheel_lidar_yaw_residual_persistence,imu_lidar_yaw_residual_mean,imu_lidar_yaw_residual_abs_mean,imu_lidar_yaw_residual_abs_max,imu_lidar_yaw_residual_std,imu_lidar_yaw_residual_persistence,wheel_vx_abs_mean,wheel_yaw_rate_abs_mean,imu_yaw_rate_abs_mean,lidar_vx_abs_mean,lidar_yaw_rate_abs_mean,imu_horizontal_accel_rms,imu_horizontal_accel_std,imu_horizontal_accel_mad,imu_roll_pitch_gyro_energy,icp_valid_fraction,icp_rmse_mean,icp_rmse_max,icp_rmse_std,icp_inlier_ratio_mean,icp_inlier_ratio_min,icp_inlier_ratio_std,icp_observability_mean,icp_observability_min,icp_observability_std,wheel_translation_reliable,wheel_rotation_reliable,imu_yaw_rate_reliable,lidar_translation_reliable
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0000,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,11.556000000000001,11.956000000000001,-0.004045393619358852,0.01554789153084221,0.027350052193420894,0.017903022318358403,0.0,-0.05198501899757694,0.21339136049967267,0.38678814743547846,0.24801240555013002,0.0,-4.877067622173893e-05,0.00021770188605116947,0.0004466692742633996,0.00024494371887307334,0.0,0.0008132302343488744,0.002631387250712594,0.008941772024623868,0.0037823946128181696,0.0,0.0008959442285380602,0.002718605525633286,0.009226296037318686,0.003890193303297592,0.0,5.180962285757252e-19,7.3100872577440705e-19,0.000194617398346422,0.01554789153084221,0.002631387250712594,0.014009141501312937,0.0068619652813657105,0.004231741611946665,1.0359813144164004e-07,1.0,0.0035563504054242825,0.0038831865863907617,0.0002924231632807326,0.6916666666666668,0.6833333333333333,0.0042431256434776144,0.5734910100596836,0.5719084965679948,0.0014906771678050493,1,1,1,1
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0001,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,11.756,12.156,-0.00027326338957656474,0.022568543509847393,0.04235725826938746,0.025839773887773223,0.0,-0.0014644689094366337,0.31666695787926835,0.5990220910950768,0.36399755378915366,0.0,-3.9931218037136205e-05,0.00021056593258071812,0.0004466692742633996,0.00023986419631267906,0.0,0.0015992799409331666,0.004287494036281779,0.008941772024623868,0.0051697730512163965,0.0,0.0016161025535974755,0.0044297812531616495,0.009226296037318686,0.0052638121278147315,0.0,5.112912963345801e-19,4.1596388117205996e-19,0.0001937886174156835,0.022568543509847393,0.004287494036281779,0.013905536052412563,0.006509199605090924,0.003963699501688179,1.0055153613281455e-07,1.0,0.0033735092609790108,0.0038831865863907617,0.00023628973441124792,0.6925925925925926,0.6833333333333333,0.005237828008789222,0.5739519717596,0.5719084965679948,0.001256632331200259,1,1,1,1
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0002,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,11.956,12.356,0.0025996362949668493,0.018699899642899896,0.04235725826938746,0.022646169730721675,0.0,0.039981073865621546,0.2607951287008076,0.5990220910950768,0.31699299010276094,0.0,2.0511238520725796e-06,0.00016416554562006933,0.00037807061832960116,0.0001969517594805584,0.0,0.0011936779962020562,0.00371971855506445,0.0068864132473797895,0.00464250423787282,0.0,0.0011926982536462612,0.0037654164633315382,0.006855958678014797,0.0046668716431714245,0.0,5.170076903777773e-19,2.8941576454503513e-19,0.00017300790379607615,0.018699899642899896,0.00371971855506445,0.013510755477856044,0.006846857127965128,0.004682877304834434,8.461030528263112e-08,1.0,0.003352380910720307,0.00379626689114945,0.0002140733289415808,0.6944444444444445,0.6888888888888889,0.004536092116265129,0.5740078697175579,0.5711543907288312,0.0013829727624739454,1,1,1,1
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0003,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,12.155999999999999,12.556,-0.003272486919058681,0.010452936767129608,0.023157400762822664,0.012931737338078134,0.0,-0.036831597618836316,0.1379337698202399,0.2875605985254562,0.17015486632316207,0.0,7.797647898197098e-05,0.0002090923238245757,0.0005680757510133308,0.00023801972359543692,0.0,-0.0005980079215727516,0.003698687220380541,0.007930943945906056,0.004593661795331828,0.0,-0.0004736479713714896,0.0036961672082052783,0.007631801935465734,0.00456303559401008,0.0,5.329614665258412e-19,4.361328090158809e-19,0.00020436042184109315,0.010452936767129606,0.003698687220380541,0.012169035525358082,0.0063482927611775535,0.003924051168862215,7.629967061489198e-08,1.0,0.0037172046829373417,0.0041664574915494254,0.00037467760906346217,0.6944444444444445,0.6888888888888889,0.004536092116265128,0.5738963127164781,0.5711543907288312,0.0018110880402578075,1,1,1,1
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0004,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,12.355999999999998,12.755999999999998,-0.0019296894103147657,0.007328143756673982,0.023157400762822664,0.010508602425424288,0.0,-0.020830364457273032,0.0953601845357584,0.2875605985254562,0.13419807707411432,0.0,4.612411737103063e-05,0.0001793096779411775,0.0005680757510133308,0.00022714818029089247,0.0,-0.0007302416202642229,0.005084701567271342,0.009805003217828496,0.0058821749556388445,0.0,-0.0006299233968108526,0.004966852493646806,0.009576228775079701,0.005720061356148465,0.0,5.459755322210965e-19,5.1542864218530695e-19,0.0002015630258299656,0.007328143756673982,0.0050847015672713415,0.012095414194546189,0.005761599903951145,0.0032954170453256275,7.760067835573044e-08,1.0,0.003743660678452823,0.0041664574915494254,0.00035124790564863633,0.6953703703703704,0.6944444444444444,0.002070433312499798,0.5752763540817497,0.5733548463240217,0.001497230376762626,1,1,1,1
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0005,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,12.555999999999997,12.955999999999998,0.006662224231261192,0.010614344275936494,0.03099046900610635,0.012654041789039882,0.0,0.09387915737087803,0.14863256412434414,0.43827141572738654,0.17814883437113174,0.0,1.6574506113096844e-05,0.000152697634281128,0.00033432975482010943,0.00018496647933621162,0.0,0.0016963254344182644,0.0035300221425074514,0.009805003217828496,0.004587588943434291,0.0,0.0017265321405334811,0.0034408915017613826,0.009576228775079701,0.004449113248013893,0.0,5.706129287910796e-19,5.074278553728351e-19,0.00016025146153295783,0.010614344275936494,0.0035300221425074514,0.013095976176647185,0.005906402608746961,0.003754934319304657,7.038978401186636e-08,1.0,0.003348102417875052,0.0037546606913064842,0.00024411347474570004,0.6935185185185185,0.6888888888888889,0.002070433312499798,0.5758388260944487,0.574159473607681,0.0009773666563240781,1,1,1,1
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0006,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,12.755999999999997,13.155999999999997,0.0238652300565939,0.02817117517057165,0.11123700745253702,0.04110038081678431,0.16666666666666666,0.31928815841058705,0.37901111508356694,1.460308965972219,0.5409844202034775,0.0,-4.563338180627489e-05,0.0002223015861687625,0.0006613730892876188,0.00026918140230641855,0.0,0.001716621379482957,0.004601439819029756,0.012917485459496765,0.00634553781686627,0.0,0.0017481600980218677,0.004621302469172888,0.012975731611756502,0.006369522784386012,0.0,0.03399999999196197,7.026909692612459e-18,0.00017157695763024761,0.027346217431975434,0.004601439819029759,1.6818506010581038,1.5916245698328386,0.005598137774296033,6.549314648471117e-08,1.0,0.0033806576346483708,0.003792800729488879,0.0002437654542281948,0.6935185185185185,0.6888888888888889,0.003817690394090413,0.5742164835669741,0.570229150211226,0.0024658996890477313,1,1,1,1
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0007,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,12.955999999999996,13.355999999999996,0.027122603430267737,0.02802118153299281,0.11123700745253702,0.038183904634319296,0.16666666666666666,0.35451686168867363,0.366678953332422,1.460308965972219,0.5018427382715922,0.0,-6.743236625308651e-05,0.00019859062841576488,0.0006613730892876188,0.0002572338659971325,0.0,0.0029221774830031494,0.005801804256995752,0.012917485459496765,0.006563480982879568,0.0,0.002943463867140365,0.005816606238291386,0.012975731611756502,0.006572720683813024,0.0,0.13399999998862028,6.770059035310821e-18,0.00014760296618379507,0.11221072989412144,0.005801804256995752,1.6818719850454977,1.5908079951762766,0.005287703300899244,7.390078102520973e-08,1.0,0.0037911388038126825,0.0043097627214738555,0.0003513131788991071,0.6925925925925926,0.6888888888888889,0.004140866624999596,0.569531325236282,0.5624761237886896,0.005097064418486919,1,1,1,1
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0008,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,13.155999999999995,13.555999999999996,0.0037951969029852476,0.01814868997352145,0.043060479211608604,0.021367873391303898,0.0,0.05082997752016622,0.231077996450859,0.5407440567920783,0.26995996960280644,0.0,-3.5699416972100285e-06,0.00014784335761294855,0.0003651490966433654,0.0001889794159569098,0.0,0.00020158761854290023,0.006689141745452827,0.01232444316803363,0.007622141484834494,0.0,0.0001712296296230006,0.006702577718189621,0.012340173157016174,0.007632434893449261,0.0,0.19999999999331664,0.0,0.00013024131373038603,0.1962048030903314,0.006689141745452827,0.015912795131906594,0.006774402003863537,0.005136056503375626,8.734771893358917e-08,1.0,0.003926284520522238,0.0043097627214738555,0.000307954440283612,0.6981481481481482,0.6888888888888889,0.008281733249999236,0.5548735613948529,0.5353383775128585,0.013801732779146194,1,1,1,1
17_ood_low_friction_mu_0p055_long_zone_p2l_v2:0009,17_ood_low_friction_mu_0p055_long_zone_p2l_v2,13.355999999999995,13.755999999999995,0.00220318705967217,0.016556680130208373,0.043060479211608604,0.022079316725658486,0.0,0.031326029081501325,0.21157404801219407,0.5407440567920783,0.2792266972845038,0.0,-3.037491421291007e-05,0.00017369986303806458,0.0006107912638418052,0.00024006237647939045,0.0,-0.00021014688628821082,0.007574483259884367,0.01232444316803363,0.008010933047410285,0.0,-0.00022632017779349945,0.007624246127290101,0.012340173157016174,0.008047912134696578,0.0,0.19999999999331664,0.0,0.00015736863625051542,0.19779681293364446,0.007574483259884367,0.013366803800107073,0.006164063233867291,0.003906425763879024,8.758420877935439e-08,1.0,0.003821751010242909,0.004090530837220936,0.00025709856872661077,0.7064814814814815,0.7,0.005928818738363768,0.5485824308946673,0.5353383775128585,0.008601158741846006,1,1,1,1
